# axis 0: x
# datapoints	uncor. err.
9.574262e-01	3.000000e-01
2.262212e+00	3.000000e-01
3.061167e+00	3.000000e-01
3.607280e+00	3.000000e-01
4.933100e+00	3.000000e-01
5.992332e+00	3.000000e-01
7.021234e+00	3.000000e-01
8.272489e+00	3.000000e-01
9.250817e+00	3.000000e-01
9.757758e+00	3.000000e-01

# axis 1: y
# datapoints	uncor. err.
1.672481e+00	2.000000e-01
1.743410e+00	2.000000e-01
1.805217e+00	2.000000e-01
2.147802e+00	2.000000e-01
2.679615e+00	2.000000e-01
3.110055e+00	2.000000e-01
3.723173e+00	2.000000e-01
4.430122e+00	2.000000e-01
4.944116e+00	2.000000e-01
5.698063e+00	2.000000e-01

