# axis 0: x
# datapoints	uncor. err.
8.018943e-01	3.000000e-01
1.839664e+00	3.000000e-01
1.941974e+00	3.000000e-01
1.953903e+00	3.000000e-01
2.839654e+00	3.000000e-01
3.488302e+00	3.000000e-01
3.775855e+00	3.000000e-01
4.555187e+00	3.000000e-01
4.477186e+00	3.000000e-01
5.376026e+00	3.000000e-01

# axis 1: y
# datapoints	uncor. err.
2.650644e-01	1.060258e-01
1.472682e-01	5.890727e-02
8.077234e-02	3.230893e-02
1.850181e-01	7.400725e-02
5.326301e-02	2.130520e-02
1.984233e-02	7.936930e-03
1.866309e-02	7.465238e-03
1.230001e-02	4.920005e-03
9.694612e-03	3.877845e-03
2.412357e-03	9.649427e-04

