# alpha   I     dalhpa  dI
-0.044    0.06  0.002  0.02
-0.040    0.07  0.002  0.02
-0.036    0.03  0.002  0.02
-0.030    0.04  0.002  0.02
-0.024    0.32  0.002  0.04
-0.018    0.03  0.002  0.02
-0.012    0.64  0.002  0.05
-0.008    0.08  0.002  0.03
-0.004    0.20  0.002  0.05
-0.001    1.11  0.002  0.08
 0.004    0.52  0.002  0.05
 0.008    0.07  0.002  0.03
 0.012    0.89  0.002  0.05
 0.018    0.01  0.002  0.01
 0.024    0.17  0.002  0.04
 0.030    0.05  0.002  0.03
 0.036    0.09  0.002  0.03
 0.040    0.02  0.002  0.02
 0.044    0.01  0.002  0.01
